team,away_team,team1_id,team2_id
Duke,Siena,1181,1373
Ohio St,TCU,1326,1395
St John's,Northern Iowa,1385,1320
Kansas,Cal Baptist,1242,1465
Louisville,South Florida,1257,1378
Michigan St,N Dakota St,1277,1295
UCLA,UCF,1417,1416
Connecticut,Furman,1163,1202
Michigan,Howard,1276,1224
Georgia,St Louis,1208,1387
Texas Tech,Akron,1403,1103
Alabama,Hofstra,1104,1220
Tennessee,SMU,1397,1374
Virginia,Wright St,1438,1460
Kentucky,Santa Clara,1246,1365
Iowa St,Tennessee St,1235,1398
Florida,Lehigh,1196,1250
Clemson,Iowa,1155,1234
Vanderbilt,McNeese St,1435,1270
Nebraska,Troy,1304,1407
North Carolina,VCU,1314,1433
Illinois,Penn,1228,1335
St Mary's CA,Texas A&M,1388,1401
Houston,Idaho,1222,1225
Arizona,LIU Brooklyn,1112,1254
Villanova,Utah St,1437,1429
Wisconsin,High Point,1458,1219
Arkansas,Hawaii,1116,1218
BYU,NC State,1140,1301
Gonzaga,Kennesaw,1211,1244
Miami FL,Missouri,1274,1281
Purdue,Queens NC,1345,1474
