Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF
2026,123,1287,66,1369,61,H,0,21,55,3,12,21,31,14,30,5,8,4,5,16,20,60,4,19,17,20,13,27,8,9,6,5,26
2026,123,1361,89,1424,86,H,0,33,60,10,25,13,19,7,26,16,12,7,6,14,30,62,10,23,16,22,8,22,15,9,7,3,17
2026,123,1275,110,1325,108,A,0,34,67,11,26,31,41,13,32,12,8,4,2,21,37,76,14,32,20,25,10,23,12,7,3,5,27
2026,123,1385,72,1371,65,A,0,26,52,7,20,13,22,8,22,16,10,5,6,18,23,56,1,11,18,27,14,22,8,9,5,4,17
2026,123,1452,77,1416,62,H,0,24,53,8,27,21,25,5,28,14,7,6,6,18,24,63,3,16,11,18,15,26,8,10,6,2,18
2026,123,1133,90,1434,84,H,0,30,71,4,20,26,34,10,27,17,11,12,2,21,28,67,8,23,20,28,12,30,19,19,8,3,28
2026,123,1433,68,1173,62,A,0,25,51,8,21,10,13,5,25,12,7,5,1,15,25,55,4,22,8,15,9,24,11,9,4,3,13
2026,123,1245,86,1444,78,H,0,29,62,14,34,14,22,14,22,15,13,8,3,17,24,60,13,34,17,23,13,22,14,11,4,3,14
2026,123,1421,85,1255,82,H,0,24,52,10,26,27,40,6,24,11,13,4,4,25,27,67,4,23,24,36,19,28,7,10,8,1,28
2026,123,1122,69,1391,60,H,0,24,55,5,20,16,20,11,25,11,11,7,1,9,23,53,8,26,6,7,5,23,14,10,8,2,17
2026,123,1195,77,1252,53,A,0,31,61,7,22,8,9,13,29,12,10,10,1,14,19,50,8,29,7,12,3,18,11,11,7,1,13
2026,123,1318,88,1299,72,A,0,31,62,10,23,16,23,11,22,17,11,11,3,21,23,56,3,12,23,28,13,22,8,14,6,6,18
2026,123,1179,100,1125,79,A,0,31,52,11,26,27,31,4,29,21,8,6,3,15,27,65,14,37,11,16,10,19,24,11,1,3,21
2026,123,1219,81,1205,59,H,0,29,67,8,26,15,22,17,31,14,11,8,3,18,20,59,6,27,13,17,11,25,8,13,7,3,19
2026,122,1413,76,1253,70,A,0,23,59,6,25,24,32,9,33,11,15,7,5,19,28,68,6,20,8,16,12,31,9,15,7,2,25
2026,122,1414,107,1142,85,H,0,40,71,6,19,21,28,11,32,23,5,9,7,18,29,75,10,34,17,21,18,25,18,12,3,2,22
2026,122,1168,75,1471,71,H,0,29,67,11,35,6,9,11,24,23,9,8,3,8,30,60,8,24,3,3,6,29,24,15,6,2,14
2026,122,1465,87,1101,48,H,0,31,53,7,15,18,33,9,29,11,14,11,4,20,14,42,4,15,16,30,6,21,5,21,7,1,25
2026,122,1378,96,1272,89,A,0,32,66,8,28,24,33,14,26,17,11,7,4,22,33,70,4,16,19,24,14,22,19,9,3,5,25
2026,122,1431,78,1244,71,H,0,24,57,8,21,22,30,7,32,11,9,9,4,27,22,65,3,23,24,35,18,33,11,13,3,3,20
2026,122,1308,77,1240,75,H,0,24,62,6,22,23,35,11,32,11,9,5,3,26,26,72,4,17,19,34,23,32,8,10,5,6,22
2026,122,1276,71,1234,68,A,0,24,45,6,12,17,22,8,30,14,18,5,5,14,25,64,7,26,11,12,10,15,15,5,7,2,22
2026,122,1277,91,1353,87,H,0,31,53,4,12,25,30,12,26,19,15,4,7,15,31,65,10,18,15,19,8,13,16,8,9,1,21
2026,122,1224,84,1313,76,A,0,26,50,12,22,20,26,6,24,14,13,4,2,16,30,63,2,14,14,17,10,20,12,8,8,2,17
2026,122,1212,65,1106,63,A,0,22,63,5,30,16,19,12,27,9,12,11,2,17,22,59,6,27,13,20,13,30,10,14,9,8,13
2026,122,1341,70,1411,59,A,0,24,57,12,24,10,16,10,32,16,11,4,7,18,21,69,2,16,15,22,20,29,9,9,7,8,17
2026,122,1295,76,1331,65,H,0,27,67,8,26,14,19,16,22,15,8,10,1,15,20,52,13,35,12,17,11,27,15,17,6,4,17
2026,122,1250,69,1221,66,H,0,27,55,6,13,9,12,7,27,11,12,7,1,16,21,52,4,16,20,22,5,22,7,10,8,3,15
2026,122,1159,90,1259,77,H,0,32,51,8,19,18,23,7,23,19,8,0,1,16,28,60,10,28,11,17,8,16,11,6,4,1,17
2026,122,1131,75,1110,73,H,0,32,53,10,19,1,2,6,18,14,13,4,4,11,31,60,5,22,6,9,13,15,9,8,9,0,10
2026,122,1434,63,1232,62,H,0,21,57,8,23,13,22,16,19,12,8,8,4,12,26,56,7,23,3,4,12,25,19,14,4,7,18
2026,122,1174,83,1358,80,H,0,30,58,14,27,9,12,4,29,19,10,8,10,14,29,70,11,27,11,16,15,25,20,10,5,1,14
2026,122,1379,86,1241,80,H,0,27,60,4,11,28,34,10,26,10,6,7,3,18,30,58,4,16,16,23,7,25,9,10,3,5,23
2026,121,1449,91,1425,72,H,0,37,77,7,30,10,15,19,27,14,11,8,5,20,24,64,4,19,20,25,12,25,6,12,8,5,17
2026,121,1161,82,1307,74,A,0,24,41,11,25,23,31,3,25,19,20,7,2,17,28,61,6,25,12,20,10,19,12,12,16,3,21
2026,121,1222,77,1124,64,H,0,28,61,9,25,12,16,12,19,10,8,11,4,13,23,55,8,25,10,12,13,24,17,18,6,1,16
2026,121,1199,75,1338,74,A,0,28,58,11,27,8,13,10,25,15,11,5,4,17,26,63,9,27,13,17,14,23,19,9,8,4,13
2026,121,1390,86,1323,78,A,0,32,56,12,23,10,16,7,20,13,7,7,6,18,22,51,9,22,25,28,10,22,11,9,3,3,15
2026,121,1345,70,1321,66,A,0,26,49,9,24,9,11,9,20,22,14,2,1,13,24,47,7,16,11,12,4,11,14,7,7,3,14
2026,121,1387,79,1260,65,H,0,29,48,9,17,12,18,5,21,16,7,3,6,11,24,51,12,25,5,7,6,17,11,12,4,5,16
2026,121,1458,78,1268,45,H,0,27,56,13,31,11,13,7,29,15,3,8,3,11,17,56,9,31,2,5,11,24,9,10,1,3,16
2026,121,1326,94,1336,62,A,0,34,51,16,23,10,15,5,29,22,12,5,0,18,17,44,8,19,20,24,1,13,11,10,7,0,14
2026,121,1116,105,1400,85,H,0,35,60,11,19,24,30,5,30,21,10,8,7,22,33,67,5,13,14,27,10,21,17,9,6,2,19
2026,121,1274,77,1374,69,A,0,27,57,11,18,12,18,12,25,20,16,7,4,7,26,63,8,24,9,11,13,21,12,14,10,7,13
2026,121,1297,85,1324,84,A,0,29,61,9,28,18,30,11,29,19,8,7,6,15,31,74,13,34,9,12,15,28,16,9,5,2,26
2026,121,1178,84,1454,63,H,0,30,56,7,19,17,21,7,31,12,9,4,3,19,23,62,5,22,12,20,11,22,11,6,5,1,19
2026,121,1460,90,1156,61,H,0,33,60,4,15,20,25,12,32,16,10,4,3,16,20,58,7,27,14,16,6,18,5,9,7,2,21
2026,121,1203,91,1382,82,H,0,30,65,9,24,22,32,13,25,9,12,10,3,17,29,68,6,20,18,23,16,28,15,16,11,5,22
2026,121,1348,64,1182,52,H,0,24,51,2,17,14,17,9,22,9,15,15,6,15,16,47,5,20,15,22,11,20,9,19,11,4,16
2026,121,1386,70,1172,67,A,0,25,53,8,23,12,14,7,34,13,13,3,5,16,25,59,9,31,8,16,4,23,11,3,7,3,14
2026,121,1266,78,1344,56,A,0,26,58,9,28,17,21,10,28,15,14,14,1,16,17,55,7,30,15,21,14,24,7,19,8,3,13
2026,121,1143,76,1210,65,A,0,28,64,5,24,15,21,8,32,19,9,9,4,20,20,51,6,22,19,24,4,31,16,17,5,4,20
2026,121,1231,77,1278,47,H,0,31,54,10,24,5,8,7,31,17,10,3,4,15,17,53,5,21,8,12,8,16,6,11,4,0,12
2026,121,1241,87,1418,72,H,0,32,54,3,13,20,26,11,30,14,16,5,4,16,26,62,5,16,15,21,9,14,4,8,8,4,19
2026,121,1166,76,1139,59,A,0,28,66,10,28,10,10,9,28,18,9,13,0,10,24,58,4,24,7,8,6,28,12,15,6,5,12
2026,121,1391,92,1184,76,A,0,32,61,14,31,14,18,10,22,18,6,10,3,15,26,53,12,27,12,16,6,21,13,11,3,3,16
2026,120,1417,72,1304,52,H,0,28,60,10,29,6,10,11,25,17,8,8,1,18,19,49,5,24,9,18,11,23,12,13,6,1,10
2026,120,1424,92,1429,65,H,0,34,59,10,25,14,17,7,29,21,12,4,7,17,23,61,5,30,14,20,11,19,15,9,6,3,18
2026,120,1461,83,1305,73,H,0,29,46,9,21,16,27,3,28,18,11,5,2,21,25,54,4,15,19,29,8,21,9,6,5,1,22
2026,120,1120,88,1261,74,H,0,31,57,10,24,16,22,9,18,15,9,13,5,16,24,44,7,15,19,26,5,22,15,16,7,2,19
2026,120,1228,80,1332,54,H,0,29,71,10,36,12,14,14,34,13,6,6,3,9,21,64,5,29,7,9,9,27,10,8,3,5,12
2026,120,1113,70,1242,60,H,0,19,59,8,25,24,30,14,29,12,14,8,6,16,21,72,7,27,11,16,25,30,14,17,12,3,19
2026,120,1435,89,1279,86,A,0,29,75,9,32,22,30,22,22,17,9,10,2,21,26,57,8,18,26,33,12,28,14,17,6,4,21
2026,120,1160,92,1428,78,A,0,31,51,9,17,21,23,6,21,17,7,6,5,17,27,52,6,16,18,23,8,15,15,10,4,4,18
2026,120,1153,90,1140,68,H,0,32,64,10,23,16,22,10,26,24,7,10,6,17,24,58,7,24,13,19,10,24,8,15,2,2,17
2026,120,1380,71,1106,64,A,0,23,62,6,18,19,27,13,30,13,9,7,6,12,24,62,6,25,10,15,11,28,11,13,6,9,19
2026,120,1129,86,1361,77,H,0,24,46,12,25,26,33,12,25,9,17,1,1,16,27,55,6,16,17,20,2,13,10,7,3,0,25
2026,120,1257,77,1393,62,H,0,27,63,14,35,9,11,9,28,17,9,5,3,17,23,57,4,19,12,17,9,26,8,11,3,7,10
2026,120,1196,108,1280,74,H,0,45,82,8,22,10,17,21,32,25,5,7,4,17,27,60,9,26,11,19,6,20,14,13,1,2,15
2026,120,1243,65,1452,63,H,0,20,49,6,20,19,25,10,24,12,16,8,4,15,24,61,6,23,9,16,15,20,16,13,10,2,18
2026,120,1395,73,1403,65,A,0,28,60,7,20,10,15,16,23,11,12,10,0,13,24,53,11,32,6,8,7,18,15,15,7,4,15
2026,120,1438,75,1448,70,H,0,25,58,10,32,15,23,12,31,17,10,5,9,18,24,62,8,25,14,15,8,25,11,8,5,3,19
2026,120,1314,67,1155,63,H,0,22,58,12,27,11,15,9,28,13,9,6,2,15,26,60,7,20,4,6,7,29,11,10,4,5,15
2026,120,1385,72,1207,69,H,0,26,66,6,28,14,19,15,25,22,9,8,4,9,27,56,5,16,10,15,7,27,17,14,3,2,18
2026,120,1221,82,1248,77,A,0,28,60,8,24,18,18,8,25,22,7,5,2,18,26,53,10,21,15,18,2,24,18,8,2,4,13
2026,120,1433,70,1206,65,H,0,24,55,7,20,15,20,10,22,5,6,4,2,20,24,53,6,19,11,15,9,21,9,10,5,4,20
2026,120,1173,65,1350,60,A,0,21,43,8,21,15,18,6,28,14,16,3,2,14,23,60,4,23,10,15,11,18,6,6,8,0,15
2026,120,1329,111,1416,104,A,0,35,72,9,23,32,40,14,33,8,10,6,4,27,32,70,7,22,33,45,13,26,14,9,8,3,26
2026,120,1371,77,1462,68,A,0,29,62,6,21,13,14,14,23,19,8,7,2,16,25,59,9,22,9,13,12,18,20,11,5,7,15
2026,120,1269,94,1325,82,H,0,30,57,7,22,27,35,10,27,19,12,6,1,22,27,67,5,28,23,29,11,19,18,8,5,3,23
2026,120,1436,69,1107,56,H,0,21,50,9,24,18,25,8,21,13,8,5,1,13,22,52,7,24,5,7,8,24,10,13,3,3,19
2026,120,1220,62,1180,51,H,0,24,55,5,20,9,14,18,25,8,14,7,3,12,16,49,10,27,9,10,9,18,11,11,5,5,14
2026,120,1328,80,1281,64,H,0,28,45,12,22,12,20,7,21,18,15,8,4,15,24,51,8,24,8,16,10,16,10,16,4,1,19
2026,120,1401,96,1246,85,H,0,28,58,13,28,27,39,9,29,16,7,8,2,21,30,63,8,26,17,28,13,28,22,13,4,1,24
2026,120,1208,98,1104,88,H,0,35,66,13,29,15,17,13,27,15,14,7,5,16,25,64,16,42,22,24,11,19,13,10,11,1,18
2026,120,1397,78,1376,59,A,0,33,61,4,14,8,12,11,23,22,6,9,1,14,18,49,9,27,14,20,8,15,10,11,4,3,12
2026,120,1418,84,1209,75,H,0,26,61,6,17,26,35,18,22,12,9,8,3,20,26,53,5,17,18,23,8,22,12,14,7,4,20
2026,119,1112,73,1235,57,H,0,22,48,6,18,23,26,9,31,14,15,8,6,14,19,65,7,30,12,13,15,18,10,11,8,2,20
2026,119,1225,85,1186,81,A,0,30,63,14,29,11,17,15,15,15,10,9,3,23,27,50,6,18,21,29,9,19,12,13,6,11,19
2026,119,1294,85,1285,57,H,0,33,67,11,30,8,10,6,35,15,7,10,4,12,23,60,5,22,6,10,4,29,11,13,3,4,9
2026,119,1181,93,1301,64,A,0,32,59,11,28,18,27,14,30,24,7,3,3,16,23,65,7,29,11,17,15,17,12,6,6,4,22
