team,away_team,Win_Prob_Team1,Win_Prob_Team2
Auburn,Alabama St,0.9997749,0.00022509569
Louisville,Creighton,0.7909592,0.20904075
Michigan,UC San Diego,0.6549057,0.34509435
Texas A&M,Yale,0.9485366,0.05146339
Mississippi,North Carolina,0.07262651,0.9273735
Marquette,New Mexico,0.100448795,0.89955115
Michigan St,Bryant,0.99830806,0.0016919901
Florida,Norfolk St,0.99931586,0.00068417005
Connecticut,Oklahoma,0.5470578,0.4529422
Memphis,Colorado St,0.99326587,0.006734108
Maryland,Grand Canyon,0.99233174,0.0076681995
Missouri,Drake,0.9993956,0.0006044063
Texas Tech,UNC Wilmington,0.98595005,0.014049914
Kansas,Arkansas,0.16124995,0.83875006
St John's,NE Omaha,0.966476,0.033523962
Duke,American University,0.9998211,0.00017890135
Mississippi St,Baylor,0.9860779,0.013922102
Oregon,Liberty,0.9956403,0.0043597524
Arizona,Akron,0.99533314,0.004666821
BYU,VCU,0.98097426,0.019025784
Wisconsin,Montana,0.99262154,0.0073784254
Saint Mary's,Vanderbilt,0.28510702,0.714893
Alabama,Robert Morris,0.9990349,0.0009651847
Houston,SIUE,0.9822832,0.017716795
Gonzaga,Georgia,0.9990287,0.0009713359
Clemson,McNeese St,0.99200726,0.007992723
Purdue,High Point,0.99489474,0.0051052505
Illinois,Texas,0.70110667,0.2988933
Kentucky,Troy,0.98978895,0.010210977
UCLA,Utah St,0.70917773,0.29082224
Tennessee,Wofford,0.988112,0.011888067
